,0
0,130.94503171247356
1,10.394366197183098
2,0.22869795194680234
3,0.3345203772950528
4,0.28402459265505847
5,0.39066645105406705
6,-0.006342494714587738
7,0.23690753895767774
8,0.13877341347610503
9,0.20910099217047112
10,0.24076377948913957
11,0.45302980099172124
12,0.509116394667807
13,0.40518470863246897
14,0.41359060969117795
15,0.11405869618916623
16,0.22964632040470545
17,0.19206895003356078
18,0.19290472948844467
19,-0.5433403805496829
20,-0.0042638477801268575
21,0.2990327827746913
22,0.10991371123749834
23,6.734767025089604
24,0.18010364741333812
25,7.82278481012658
26,2.715843900224734
27,1.8390399936836384
28,2.7407334787381417
